model,y,x,mean/std,recall,precision,f1
svm,実態cat2,ub+cm+intention,mean,0.20135671026549568,0.6067687236795332,0.30229555141290976
svm,実態cat2,ub+cm+intention,std,0.0074243890272098325,0.01777989824284419,0.009543706418679344
svm,実態cat2,ub+profile+intention,mean,0.3325136729675424,0.6138894807248586,0.4312780851427404
svm,実態cat2,ub+profile+intention,std,0.01591928037350934,0.013827777078963354,0.016443501177861808
svm,実態cat2,ub+cm+profile+intention,mean,0.180310171658718,0.6199553234306316,0.2791484341134366
svm,実態cat2,ub+cm+profile+intention,std,0.013180071852656268,0.01477804912303509,0.01683472504788956
svm,実態cat4,ub+cm+intention,mean,0.24376319900566615,0.5768691758167189,0.3425964313827949
svm,実態cat4,ub+cm+intention,std,0.009532625130376421,0.007353445520400445,0.009704517775297156
svm,実態cat4,ub+profile+intention,mean,0.5551179789399819,0.6329691257740279,0.5913749037031042
svm,実態cat4,ub+profile+intention,std,0.01249355202545699,0.0036659632190050775,0.005513905085116218
svm,実態cat4,ub+cm+profile+intention,mean,0.22445763594541596,0.595684194024502,0.3259772758820487
svm,実態cat4,ub+cm+profile+intention,std,0.008392197780461474,0.0050411663122339224,0.009187128542824776
svm,意図cat2,ub+cm,mean,0.0031043496133507115,0.07994901838158654,0.005973496900251714
svm,意図cat2,ub+cm,std,0.0007740034598177675,0.018511365092388862,0.0014803012483127946
svm,意図cat2,ub+profile,mean,0.0,0.0,0.0
svm,意図cat2,ub+profile,std,0.0,0.0,0.0
svm,意図cat2,ub+cm+profile,mean,0.0010283344905895934,0.11468253968253968,0.0020373371558049637
svm,意図cat2,ub+cm+profile,std,0.00031282283272421384,0.04020293695845695,0.0006187374860446722
svm,意図cat4,ub+cm,mean,0.24543022235112455,0.5716991416360111,0.3431354296297693
svm,意図cat4,ub+cm,std,0.012135919340306443,0.00857877184661395,0.010011424971868485
svm,意図cat4,ub+profile,mean,0.4346909615474847,0.6245855070433175,0.5125319807810504
svm,意図cat4,ub+profile,std,0.011287614025397892,0.0029369951911848353,0.007938587267399228
svm,意図cat4,ub+cm+profile,mean,0.2688024501491653,0.5814298151302246,0.3676284322495683
svm,意図cat4,ub+cm+profile,std,0.0022291380289308654,0.006084263104045295,0.0025919740240895077
logistic,実態cat2,ub+cm+intention,mean,0.29220440233288697,0.5371725551260662,0.3784385502361894
logistic,実態cat2,ub+cm+intention,std,0.0058415551807098,0.007317337148661006,0.0043976901205437955
logistic,実態cat2,ub+profile+intention,mean,0.2806991775761897,0.5793640833180227,0.3780383288357275
logistic,実態cat2,ub+profile+intention,std,0.008593389093807914,0.007671844218233245,0.006791859325204058
logistic,実態cat2,ub+cm+profile+intention,mean,0.30369428214360394,0.5881394846935091,0.4004826714279604
logistic,実態cat2,ub+cm+profile+intention,std,0.013342507575830788,0.013850365479158355,0.01436940246386375
logistic,実態cat4,ub+cm+intention,mean,0.2121686916463993,0.5542334003693695,0.3067647748805581
logistic,実態cat4,ub+cm+intention,std,0.006021397356207586,0.007635087752658917,0.005458049329094348
logistic,実態cat4,ub+profile+intention,mean,0.3106305914931737,0.563033499558579,0.4000667892548849
logistic,実態cat4,ub+profile+intention,std,0.017150045703508542,0.0024790671593447828,0.013919942068686313
logistic,実態cat4,ub+cm+profile+intention,mean,0.320675095256658,0.5619076937364411,0.40831153130857656
logistic,実態cat4,ub+cm+profile+intention,std,0.0035565070452100007,0.006138684862300632,0.003908969922275138
logistic,意図cat2,ub+cm,mean,0.0,0.0,0.0
logistic,意図cat2,ub+cm,std,0.0,0.0,0.0
logistic,意図cat2,ub+profile,mean,0.0,0.0,0.0
logistic,意図cat2,ub+profile,std,0.0,0.0,0.0
logistic,意図cat2,ub+cm+profile,mean,0.0,0.0,0.0
logistic,意図cat2,ub+cm+profile,std,0.0,0.0,0.0
logistic,意図cat4,ub+cm,mean,0.00047798057418612576,0.5555555555555556,0.0009550799297098238
logistic,意図cat4,ub+cm,std,0.00021997942010762417,0.11111111111111112,0.0004393390486732162
logistic,意図cat4,ub+profile,mean,0.10466913774430787,0.5549338433652777,0.1761128585687722
logistic,意図cat4,ub+profile,std,0.001962154824204923,0.0049271072935737755,0.002904334264863425
logistic,意図cat4,ub+cm+profile,mean,0.10471401820443148,0.5499157378498992,0.1758779827296179
logistic,意図cat4,ub+cm+profile,std,0.0019710489975810373,0.016979133684495974,0.0022937425547298732
